instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
6953,2011-10-22,4,0,10,7,0,6,0,1,0.36,0.3636,0.76,0.1045,8,49,57
6954,2011-10-22,4,0,10,8,0,6,0,1,0.4,0.4091,0.71,0.0,26,88,114
6955,2011-10-22,4,0,10,9,0,6,0,1,0.42,0.4242,0.67,0.0896,47,122,169
6956,2011-10-22,4,0,10,10,0,6,0,2,0.44,0.4394,0.62,0.1045,87,149,236
6957,2011-10-22,4,0,10,11,0,6,0,2,0.44,0.4394,0.62,0.1045,110,172,282
6958,2011-10-22,4,0,10,12,0,6,0,1,0.46,0.4545,0.55,0.0896,132,211,343
6959,2011-10-22,4,0,10,13,0,6,0,1,0.5,0.4848,0.45,0.0,136,186,322
6960,2011-10-22,4,0,10,14,0,6,0,2,0.48,0.4697,0.48,0.2239,133,177,310
6961,2011-10-22,4,0,10,15,0,6,0,1,0.48,0.4697,0.51,0.2239,159,223,382
6962,2011-10-22,4,0,10,16,0,6,0,1,0.5,0.4848,0.45,0.194,169,190,359
6963,2011-10-22,4,0,10,17,0,6,0,1,0.46,0.4545,0.55,0.1343,143,217,360
6964,2011-10-22,4,0,10,18,0,6,0,1,0.44,0.4394,0.54,0.0896,111,224,335
6965,2011-10-22,4,0,10,19,0,6,0,1,0.44,0.4394,0.67,0.0,47,173,220
6966,2011-10-22,4,0,10,20,0,6,0,1,0.42,0.4242,0.67,0.0,48,111,159
6967,2011-10-22,4,0,10,21,0,6,0,1,0.4,0.4091,0.76,0.0,37,120,157
6968,2011-10-22,4,0,10,22,0,6,0,1,0.4,0.4091,0.76,0.0,30,114,144
6969,2011-10-22,4,0,10,23,0,6,0,1,0.38,0.3939,0.82,0.0,27,81,108
6970,2011-10-23,4,0,10,0,0,0,0,1,0.36,0.3788,0.87,0.0,24,64,88
6971,2011-10-23,4,0,10,1,0,0,0,1,0.36,0.3788,0.87,0.0,11,60,71
6972,2011-10-23,4,0,10,2,0,0,0,1,0.34,0.3485,0.87,0.0896,10,40,50
6973,2011-10-23,4,0,10,3,0,0,0,1,0.34,0.3636,0.87,0.0,15,31,46
6974,2011-10-23,4,0,10,4,0,0,0,1,0.34,0.3636,0.87,0.0,5,1,6
6975,2011-10-23,4,0,10,5,0,0,0,1,0.32,0.3485,0.87,0.0,1,2,3
6976,2011-10-23,4,0,10,6,0,0,0,1,0.32,0.3333,0.87,0.1045,0,12,12
6977,2011-10-23,4,0,10,7,0,0,0,1,0.34,0.3485,0.87,0.0896,3,18,21
6978,2011-10-23,4,0,10,8,0,0,0,1,0.36,0.3485,0.87,0.1343,32,56,88
6979,2011-10-23,4,0,10,9,0,0,0,1,0.4,0.4091,0.76,0.0,48,95,143
6980,2011-10-23,4,0,10,10,0,0,0,1,0.42,0.4242,0.71,0.0896,104,185,289
6981,2011-10-23,4,0,10,11,0,0,0,1,0.46,0.4545,0.72,0.1642,131,202,333
6982,2011-10-23,4,0,10,12,0,0,0,1,0.5,0.4848,0.59,0.2537,164,249,413
6983,2011-10-23,4,0,10,13,0,0,0,1,0.52,0.5,0.55,0.194,160,255,415
6984,2011-10-23,4,0,10,14,0,0,0,1,0.52,0.5,0.55,0.2239,192,216,408
6985,2011-10-23,4,0,10,15,0,0,0,1,0.52,0.5,0.52,0.1642,171,216,387
6986,2011-10-23,4,0,10,16,0,0,0,1,0.52,0.5,0.55,0.194,188,217,405
6987,2011-10-23,4,0,10,17,0,0,0,1,0.5,0.4848,0.63,0.1343,120,220,340
6988,2011-10-23,4,0,10,18,0,0,0,1,0.5,0.4848,0.63,0.1045,88,196,284
6989,2011-10-23,4,0,10,19,0,0,0,1,0.46,0.4545,0.77,0.0,53,140,193
6990,2011-10-23,4,0,10,20,0,0,0,1,0.44,0.4394,0.72,0.0896,32,112,144
6991,2011-10-23,4,0,10,21,0,0,0,1,0.44,0.4394,0.72,0.0896,24,75,99
6992,2011-10-23,4,0,10,22,0,0,0,1,0.42,0.4242,0.77,0.1045,25,69,94
6993,2011-10-23,4,0,10,23,0,0,0,1,0.42,0.4242,0.77,0.1642,18,31,49
6994,2011-10-24,4,0,10,0,0,1,1,1,0.42,0.4242,0.77,0.0,6,26,32
6995,2011-10-24,4,0,10,1,0,1,1,1,0.4,0.4091,0.82,0.1343,7,8,15
6996,2011-10-24,4,0,10,2,0,1,1,1,0.4,0.4091,0.87,0.1045,1,6,7
6997,2011-10-24,4,0,10,3,0,1,1,1,0.4,0.4091,0.82,0.0896,1,3,4
6998,2011-10-24,4,0,10,4,0,1,1,1,0.4,0.4091,0.82,0.0,1,5,6
6999,2011-10-24,4,0,10,5,0,1,1,1,0.38,0.3939,0.87,0.0,2,19,21
7000,2011-10-24,4,0,10,6,0,1,1,1,0.4,0.4091,0.87,0.1045,3,83,86
7001,2011-10-24,4,0,10,7,0,1,1,2,0.38,0.3939,0.94,0.1045,11,274,285
7002,2011-10-24,4,0,10,8,0,1,1,2,0.42,0.4242,0.88,0.1642,20,378,398
7003,2011-10-24,4,0,10,9,0,1,1,2,0.44,0.4394,0.82,0.1642,29,166,195
7004,2011-10-24,4,0,10,10,0,1,1,2,0.46,0.4545,0.82,0.2537,47,82,129
7005,2011-10-24,4,0,10,11,0,1,1,2,0.5,0.4848,0.72,0.1642,59,109,168
7006,2011-10-24,4,0,10,12,0,1,1,2,0.52,0.5,0.68,0.1045,64,156,220
7007,2011-10-24,4,0,10,13,0,1,1,2,0.54,0.5152,0.64,0.2239,60,138,198
7008,2011-10-24,4,0,10,14,0,1,1,2,0.54,0.5152,0.64,0.194,63,143,206
7009,2011-10-24,4,0,10,15,0,1,1,1,0.56,0.5303,0.6,0.1642,52,125,177
7010,2011-10-24,4,0,10,16,0,1,1,1,0.54,0.5152,0.64,0.194,68,242,310
7011,2011-10-24,4,0,10,17,0,1,1,1,0.52,0.5,0.68,0.1343,87,527,614
7012,2011-10-24,4,0,10,18,0,1,1,1,0.54,0.5152,0.6,0.0896,58,428,486
7013,2011-10-24,4,0,10,19,0,1,1,3,0.48,0.4697,0.82,0.0,25,212,237
